id,bcl2_regulates_family,sentences
27014180,activate_bad,"the latter activates bad triggering mitochondrial intrinsic pathway resulting neuronal apoptosis, while bad combining with bcl2 inhibits neuronal survival (figure 14)"
27990281,activate_bak,the indirect activation model proposes that bax and bak are tonically activated but are restrained by anti-apoptotic bcl2 family members34
27990281,activate_bak,"in this model, bh3-only proteins induced by various death signals primarily inhibit the anti-apoptotic bcl2 family members, leading to the release of activated bax and bak"
27990281,activate_bak,"in model 2 (right), bak and/or bax are constitutively activated and are displaced from anti-apoptotic bcl2 family members by bh3 mimetics46"
27990281,activate_bak,"to the extent that bh3-only proteins are constitutively activated but sequestered by anti-apoptotic bcl2 family members44,45, displacement of bh3-only proteins by bh3 mimetics can provide a driving force for bax and bak activation (figure 1, model 1)"
27990281,activate_bak,"based on these observations, bh3 mimetics might be killing cells by displacing partially activated bak from anti-apoptotic bcl2 family members (figure 1, model 2)"
27990281,activate_bax,the indirect activation model proposes that bax and bak are tonically activated but are restrained by anti-apoptotic bcl2 family members34
27990281,activate_bax,"in this model, bh3-only proteins induced by various death signals primarily inhibit the anti-apoptotic bcl2 family members, leading to the release of activated bax and bak"
27990281,activate_bax,"finally, the unified model proposes that anti-apoptotic bcl2 family proteins inhibit both bh3-only proteins and activated bax or bak35"
27990281,activate_bax,"in model 1 (left), bh3 mimetics are thought to displace activated bim from anti-apoptotic bcl2 family members, allowing bim to subsequently activate bax and bak44"
27990281,activate_bax,"in model 2 (right), bak and/or bax are constitutively activated and are displaced from anti-apoptotic bcl2 family members by bh3 mimetics46"
27990281,activate_bax,"to the extent that bh3-only proteins are constitutively activated but sequestered by anti-apoptotic bcl2 family members44,45, displacement of bh3-only proteins by bh3 mimetics can provide a driving force for bax and bak activation (figure 1, model 1)"
27777645,activate_bax,"puma binds and antagonizes all known antiapoptotic bcl2 family members and activates two key multidomain proapoptotic bcl2 family proteins, bax and bak, leading to mitochondrial dysfunction and caspase activation [130]"
27990281,activate_bim,"in model 1 (left), bh3 mimetics are thought to displace activated bim from anti-apoptotic bcl2 family members, allowing bim to subsequently activate bax and bak44"
27777645,activate_puma,"puma binds and antagonizes all known antiapoptotic bcl2 family members and activates two key multidomain proapoptotic bcl2 family proteins, bax and bak, leading to mitochondrial dysfunction and caspase activation [130]"
27990281,activation_bak,the indirect activation model proposes that bax and bak are tonically activated but are restrained by anti-apoptotic bcl2 family members34
27990281,activation_bak,"instead, binding of bh3 mimetics to anti-apoptotic bcl2 family members must result in bax and/or bak activation to elicit cell death"
27990281,activation_bak,"to the extent that bh3-only proteins are constitutively activated but sequestered by anti-apoptotic bcl2 family members44,45, displacement of bh3-only proteins by bh3 mimetics can provide a driving force for bax and bak activation (figure 1, model 1)"
28369145,activation_bax,(f) increased ratio of bax to bcl2 proteins indicative of apoptosis activation was measured in vec
27990281,activation_bax,the indirect activation model proposes that bax and bak are tonically activated but are restrained by anti-apoptotic bcl2 family members34
27990281,activation_bax,"instead, binding of bh3 mimetics to anti-apoptotic bcl2 family members must result in bax and/or bak activation to elicit cell death"
27990281,activation_bax,"to the extent that bh3-only proteins are constitutively activated but sequestered by anti-apoptotic bcl2 family members44,45, displacement of bh3-only proteins by bh3 mimetics can provide a driving force for bax and bak activation (figure 1, model 1)"
27821806,activation_bax,ectopic introduction of these mirnas lead to enhanced activation of caspase-dependent death signaling and an induction of the pro-apoptotic proteins bak1 and bax and a reduced expression of bcl2 and bcl-xl
27777645,activation_bax,"puma binds and antagonizes all known antiapoptotic bcl2 family members and activates two key multidomain proapoptotic bcl2 family proteins, bax and bak, leading to mitochondrial dysfunction and caspase activation [130]"
27729033,activation_bax,"besides, we found rapid up-regulation of pro-apoptotic genes including c-myc, fadd, bax and, while down-regulation of anti-apoptotic gene bcl2 which eventually led to the activation of caspase-3, -8, and -9 cascade, suggesting that cps-induced apoptosis might partly occured through a mitochondrion-mediated pathway"
27551266,activation_bax,activation of intrinsic apoptotic pathway results in the up-regulation of pro-apoptotic bax expression and the down-regulation of anti-apoptotic bcl2 expression
27418435,activation_bax,our results demonstrated that the activation of ampk by apn can reverse the increased apoptosis of bmscs by the upregulation of bcl2 and downregulation of bax
27418435,activation_bax,"additionally, the protective effects of apn are attributed to the activation of ampk, which can further promote acc phosphorylation, bcl2 up-regulation, and bax down-regulation"
27418435,activation_bax,"additionally, the protective effects of apn are attributed to the activation of ampk, which can further promote acc phosphorylation, bcl2 up-regulation, and bax down-regulation"
27821806,activation_bcl-xl,ectopic introduction of these mirnas lead to enhanced activation of caspase-dependent death signaling and an induction of the pro-apoptotic proteins bak1 and bax and a reduced expression of bcl2 and bcl-xl
27777645,activation_puma,"puma binds and antagonizes all known antiapoptotic bcl2 family members and activates two key multidomain proapoptotic bcl2 family proteins, bax and bak, leading to mitochondrial dysfunction and caspase activation [130]"
27418435,activator_bax,"bcl2 and bax have been demonstrated to function as an apoptotic activator and apoptotic inhibitor, respectively"
28157696,alter_bax,"tramp cells exposed to res showed decreased cell viability, altered cell morphology, and disrupted Δψm, which led to aberrant expression of bax and bcl2 proteins"
27777645,antagonize_bax,"puma binds and antagonizes all known antiapoptotic bcl2 family members and activates two key multidomain proapoptotic bcl2 family proteins, bax and bak, leading to mitochondrial dysfunction and caspase activation [130]"
27682256,antagonize_bax,"several studies have suggested that pro-apoptotic genes like bax accelerates programmed cell death by binding to, and antagonizing the apoptosis repressor bcl2 gene"
28056107,antagonize_mcl1,"parkin-dependent mitophagy is antagonized by pro-survival members of the bcl2 family, bcl2l1, and mcl1 [69]"
27777645,antagonize_puma,"puma binds and antagonizes all known antiapoptotic bcl2 family members and activates two key multidomain proapoptotic bcl2 family proteins, bax and bak, leading to mitochondrial dysfunction and caspase activation [130]"
27990281,anti-apoptotic_bad,"because the bad bh3 and hrk bh3 domains have different affinities for anti-apoptotic bcl2 family proteins44,115, with bad binding bcl2 and bclxl tightly but hrk binding only bclxl, subtracting the cytochrome c release caused by hrk from that caused by bad (bad–hrk) reportedly predicts venetoclax sensitivity116"
27776559,anti-apoptotic_bad,"the histograms are representative of two separate experimentsa recent study underscored a potential role for bcl2 family members in determining nelarabine resistance, as a nelarabine-resistant t-all cell line displayed increased anti-apoptotic bcl-xl levels, whereas pro-apoptotic bax and bad levels were decreased [27]"
27014180,anti-apoptotic_bad,bad promotes cell death by binding to anti-apoptotic members of the bcl2 family and thus inhibiting their survival promoting functions (40)
27990281,anti-apoptotic_bak,"bh3 mimetics are designed to inhibit anti-apoptotic bcl2 family proteins, leading to bax and bak activation12–14"
27990281,anti-apoptotic_bak,the indirect activation model proposes that bax and bak are tonically activated but are restrained by anti-apoptotic bcl2 family members34
27990281,anti-apoptotic_bak,"in this model, bh3-only proteins induced by various death signals primarily inhibit the anti-apoptotic bcl2 family members, leading to the release of activated bax and bak"
27990281,anti-apoptotic_bak,"instead, binding of bh3 mimetics to anti-apoptotic bcl2 family members must result in bax and/or bak activation to elicit cell death"
27990281,anti-apoptotic_bak,"in model 2 (right), bak and/or bax are constitutively activated and are displaced from anti-apoptotic bcl2 family members by bh3 mimetics46"
27990281,anti-apoptotic_bak,"to the extent that bh3-only proteins are constitutively activated but sequestered by anti-apoptotic bcl2 family members44,45, displacement of bh3-only proteins by bh3 mimetics can provide a driving force for bax and bak activation (figure 1, model 1)"
27990281,anti-apoptotic_bak,"based on these observations, bh3 mimetics might be killing cells by displacing partially activated bak from anti-apoptotic bcl2 family members (figure 1, model 2)"
27990281,anti-apoptotic_bak,"all of these complexes between bak and anti-apoptotic bcl2 family members can, like complexes between bh3-only proteins and anti-apoptotic bcl2 family members44,45, be detected and potentially quantified by immunoprecipitation46"
28350842,anti-apoptotic_bax,"it was demonstrated that icariin significantly inhibited the upregulation of apoptosis-related proteins under oxidative condition, including bax and cleaved caspase-3, while promoted the expression of anti-apoptotic factor bcl2"
28334048,anti-apoptotic_bax,"also, there was increase in the immunoexpression of pro-apoptotic protein bax, increase in bax and caspase-3 levels and decrease in the level of anti-apoptotic bcl2 in liver"
28076382,anti-apoptotic_bax,"g004to assess whether the perturbed mitochondrial functions are associated with apoptosis in the scnt placentae, we next analyzed the mrna expression of the anti-apoptotic bcl2 and pro-apoptotic bax"
28056107,anti-apoptotic_bax,"it has recently been proposed that the autophagy inhibition mediated by anti-apoptotic bcl2 family members requires dissociation of the becn1 binding, and occurs independently of the pro-apoptotic bcl2 family members bax and bak1 [68]"
27990281,anti-apoptotic_bax,"bh3 mimetics are designed to inhibit anti-apoptotic bcl2 family proteins, leading to bax and bak activation12–14"
